ubigeo,departamento,provincia,distrito,total_facilities,emergency_proxy_facilities,facilities_missing_coords,c1_rows,reporting_ipress_count,total_emergency_attentions,total_emergency_attended,atenciones_missing_rows,atendidos_missing_rows,atenciones_zero_rows,atendidos_zero_rows,atenciones_missing_share,atendidos_missing_share,atenciones_zero_share,atendidos_zero_share,activity_quality_tag,facility_component,activity_component,q1_territorial_availability_score,availability_level,rank_best_to_worst,rank_worst_to_best
150101,LIMA,LIMA,LIMA,253.0,16.0,227.0,718.0,24.0,168141.0,85261.0,18.0,18.0,0.0,0.0,0.025069637883008356,0.025069637883008356,0.0,0.0,Missing activity values present,0.8720044393619406,0.9962115939800422,0.9341080166709914,Very high availability,1,543
040101,AREQUIPA,AREQUIPA,AREQUIPA,365.0,15.0,358.0,428.0,19.0,107957.0,45313.0,25.0,25.0,0.0,0.0,0.05841121495327103,0.05841121495327103,0.0,0.0,Missing activity values present,0.8979526612347961,0.950102110614286,0.924027385924541,Very high availability,2,542
150122,LIMA,LIMA,MIRAFLORES,305.0,17.0,297.0,383.0,21.0,78157.0,57290.0,27.0,27.0,0.0,0.0,0.07049608355091384,0.07049608355091384,0.0,0.0,Missing activity values present,0.8964693862866305,0.9471099270940986,0.9217896566903645,Very high availability,3,541
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,669.0,9.0,632.0,340.0,11.0,93445.0,48605.0,8.0,8.0,0.0,0.0,0.023529411764705882,0.023529411764705882,0.0,0.0,Missing activity values present,0.8937444542294222,0.9472374217159358,0.920490937972679,Very high availability,4,540
130101,LA LIBERTAD,TRUJILLO,TRUJILLO,266.0,22.0,242.0,751.0,42.0,46878.0,43847.0,53.0,53.0,0.0,0.0,0.07057256990679095,0.07057256990679095,0.0,0.0,Missing activity values present,0.9151692217868269,0.914253307022018,0.9147112644044224,Very high availability,5,539
150113,LIMA,LIMA,JESUS MARIA,275.0,16.0,265.0,351.0,17.0,80503.0,47138.0,20.0,20.0,0.0,0.0,0.05698005698005698,0.05698005698005698,0.0,0.0,Missing activity values present,0.8796635498874232,0.9397399899823022,0.9097017699348627,Very high availability,6,538
150131,LIMA,LIMA,SAN ISIDRO,291.0,17.0,284.0,418.0,30.0,41850.0,37472.0,46.0,46.0,0.0,0.0,0.11004784688995216,0.11004784688995216,0.0,0.0,Missing activity values present,0.8921513317863623,0.9026556135826869,0.8974034726845246,Very high availability,7,537
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,389.0,11.0,372.0,698.0,26.0,64455.0,39325.0,23.0,23.0,0.0,0.0,0.0329512893982808,0.0329512893982808,0.0,0.0,Missing activity values present,0.8671088192462604,0.9225909745231635,0.894849896884712,Very high availability,8,536
110101,ICA,ICA,ICA,109.0,18.0,98.0,524.0,27.0,184319.0,51599.0,33.0,33.0,0.0,0.0,0.06297709923664122,0.06297709923664122,0.0,0.0,Missing activity values present,0.8090320125806314,0.9778831242594833,0.8934575684200574,Very high availability,9,535
150110,LIMA,LIMA,COMAS,262.0,8.0,236.0,431.0,29.0,147103.0,55635.0,44.0,44.0,0.0,0.0,0.10208816705336426,0.10208816705336426,0.0,0.0,Missing activity values present,0.794080875128734,0.9718988833381563,0.8829898792334452,Very high availability,10,534
070101,CALLAO,CALLAO,CALLAO,298.0,8.0,247.0,460.0,40.0,104160.0,54424.0,74.0,74.0,0.0,0.0,0.1608695652173913,0.1608695652173913,0.0,0.0,Missing activity values present,0.8059097424569646,0.9566939088551452,0.8813018256560549,Very high availability,11,533
150130,LIMA,LIMA,SAN BORJA,219.0,22.0,212.0,399.0,28.0,26696.0,22937.0,39.0,39.0,0.0,0.0,0.09774436090225563,0.09774436090225563,0.0,0.0,Missing activity values present,0.897316492525307,0.8625003537426446,0.8799084231339758,Very high availability,12,532
150140,LIMA,LIMA,SANTIAGO DE SURCO,351.0,16.0,336.0,285.0,27.0,20908.0,15700.0,43.0,43.0,0.0,0.0,0.15087719298245614,0.15087719298245614,0.0,0.0,Missing activity values present,0.9020904682362147,0.8357286859478354,0.8689095770920251,Very high availability,13,531
120101,JUNIN,HUANCAYO,HUANCAYO,244.0,8.0,231.0,330.0,16.0,51966.0,47748.0,29.0,29.0,0.0,0.0,0.08787878787878788,0.08787878787878788,0.0,0.0,Missing activity values present,0.7875439644788531,0.9222559718215553,0.8548999681502042,Very high availability,14,530
150117,LIMA,LIMA,LOS OLIVOS,539.0,9.0,527.0,350.0,28.0,13827.0,13084.0,40.0,40.0,0.0,0.0,0.11428571428571428,0.11428571428571428,0.0,0.0,Missing activity values present,0.8738551626675015,0.8106504719309654,0.8422528172992334,Very high availability,15,529
150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,318.0,7.0,290.0,336.0,14.0,36057.0,29178.0,15.0,15.0,0.0,0.0,0.044642857142857144,0.044642857142857144,0.0,0.0,Missing activity values present,0.7968539833782942,0.8854941482640897,0.8411740658211919,Very high availability,16,528
060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,165.0,22.0,137.0,663.0,35.0,13877.0,13076.0,54.0,54.0,0.0,0.0,0.08144796380090498,0.08144796380090498,0.0,0.0,Missing activity values present,0.8713480519167447,0.8107723839918425,0.8410602179542936,Very high availability,17,527
040126,AREQUIPA,AREQUIPA,YANAHUARA,123.0,8.0,119.0,145.0,9.0,159512.0,36841.0,12.0,12.0,0.0,0.0,0.08275862068965517,0.08275862068965517,0.0,0.0,Missing activity values present,0.7247548835416479,0.9570859888468695,0.8409204361942586,Very high availability,18,526
150103,LIMA,LIMA,ATE,338.0,4.0,316.0,269.0,9.0,84405.0,41692.0,7.0,7.0,0.0,0.0,0.026022304832713755,0.026022304832713755,0.0,0.0,Missing activity values present,0.7425017316502263,0.9362853038339634,0.8393935177420948,Very high availability,19,525
150108,LIMA,LIMA,CHORRILLOS,142.0,15.0,116.0,356.0,18.0,25887.0,24465.0,17.0,17.0,0.0,0.0,0.047752808988764044,0.047752808988764044,0.0,0.0,Missing activity values present,0.8112999553249683,0.8640714337623305,0.8376856945436495,Very high availability,20,524
150143,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,189.0,8.0,161.0,66.0,4.0,47599.0,38097.0,6.0,6.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,Missing activity values present,0.764102444111554,0.9086922439142091,0.8363973440128816,Very high availability,21,523
070102,CALLAO,CALLAO,BELLAVISTA,118.0,8.0,106.0,431.0,12.0,54948.0,45485.0,9.0,9.0,0.0,0.0,0.02088167053364269,0.02088167053364269,0.0,0.0,Missing activity values present,0.7209599258669348,0.9224187041799226,0.8216893150234287,Very high availability,22,522
