ubigeo,department,province,district,total_populated_centers,matched_centers,unmatched_centers,coverage_share,mean_distance_km,median_distance_km,p90_distance_km,max_distance_km,share_over_10km,share_over_20km,share_over_30km,coverage_component,distance_component,remote_tail_component,q2_settlement_access_score,q2_access_level,rank_best_to_worst,rank_worst_to_best
070102,CALLAO,CALLAO,BELLAVISTA,1.0,1.0,0.0,1.0,0.15175132678692077,0.15175132678692077,0.15175132678692077,0.15175132678692077,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Very high availability,1,1871
150121,LIMA,LIMA,PUEBLO LIBRE,1.0,1.0,0.0,1.0,0.2229230877962696,0.2229230877962696,0.2229230877962696,0.2229230877962696,0.0,0.0,0.0,1.0,0.9895483692115755,1.0,0.9926838584481028,Very high availability,2,1870
021803,ANCASH,SANTA,COISHCO,1.0,1.0,0.0,1.0,0.40131493668987206,0.40131493668987206,0.40131493668987206,0.40131493668987206,0.0,0.0,0.0,1.0,0.9658131947538504,1.0,0.9760692363276953,Very high availability,3,1869
150112,LIMA,LIMA,INDEPENDENCIA,3.0,3.0,0.0,1.0,0.8602622887028802,0.4288653415509874,1.5388151559219663,1.816302609514711,0.0,0.0,0.0,1.0,0.9624194596883966,1.0,0.9736936217818775,Very high availability,4,1868
040109,AREQUIPA,AREQUIPA,MARIANO MELGAR,1.0,1.0,0.0,1.0,0.47016196888111056,0.47016196888111056,0.47016196888111056,0.47016196888111056,0.0,0.0,0.0,1.0,0.9574530563368626,1.0,0.9702171394358037,Very high availability,5,1867
150128,LIMA,LIMA,RIMAC,1.0,1.0,0.0,1.0,0.5008193795776471,0.5008193795776471,0.5008193795776471,0.5008193795776471,0.0,0.0,0.0,1.0,0.9538555522656665,1.0,0.9676988865859666,Very high availability,6,1866
150122,LIMA,LIMA,MIRAFLORES,1.0,1.0,0.0,1.0,0.5220617107969155,0.5220617107969155,0.5220617107969155,0.5220617107969155,0.0,0.0,0.0,1.0,0.9514057073464405,1.0,0.9659839951425082,Very high availability,7,1865
130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,1.0,1.0,0.0,1.0,0.5806933977351947,0.5806933977351947,0.5806933977351947,0.5806933977351947,0.0,0.0,0.0,1.0,0.9448172016799071,1.0,0.961372041175935,Very high availability,8,1864
150116,LIMA,LIMA,LINCE,1.0,1.0,0.0,1.0,0.5975203520602711,0.5975203520602711,0.5975203520602711,0.5975203520602711,0.0,0.0,0.0,1.0,0.9429714349909101,1.0,0.9600800044936371,Very high availability,9,1863
150131,LIMA,LIMA,SAN ISIDRO,1.0,1.0,0.0,1.0,0.6540926740780957,0.6540926740780957,0.6540926740780957,0.6540926740780957,0.0,0.0,0.0,1.0,0.9369054782597696,1.0,0.9558338347818387,Very high availability,10,1862
040101,AREQUIPA,AREQUIPA,AREQUIPA,1.0,1.0,0.0,1.0,0.6541433504722787,0.6541433504722787,0.6541433504722787,0.6541433504722787,0.0,0.0,0.0,1.0,0.9369001380348216,1.0,0.9558300966243751,Very high availability,11,1861
150120,LIMA,LIMA,MAGDALENA DEL MAR,1.0,1.0,0.0,1.0,0.6844350852375041,0.6844350852375041,0.6844350852375041,0.6844350852375041,0.0,0.0,0.0,1.0,0.9337369514377399,1.0,0.953615866006418,Very high availability,12,1860
040126,AREQUIPA,AREQUIPA,YANAHUARA,1.0,1.0,0.0,1.0,0.7261133684745763,0.7261133684745763,0.7261133684745763,0.7261133684745763,0.0,0.0,0.0,1.0,0.9294764810578101,1.0,0.950633536740467,Very high availability,13,1859
150113,LIMA,LIMA,JESUS MARIA,1.0,1.0,0.0,1.0,0.7525951889284053,0.7525951889284053,0.7525951889284053,0.7525951889284053,0.0,0.0,0.0,1.0,0.926822556868561,1.0,0.9487757898079927,Very high availability,14,1858
070101,CALLAO,CALLAO,CALLAO,7.0,7.0,0.0,1.0,1.3257342728911683,0.7867994948332891,3.2467996540276522,3.5412398435745276,0.0,0.0,0.0,1.0,0.9234534433827625,1.0,0.9464174103679337,Very high availability,15,1857
070104,CALLAO,CALLAO,LA PERLA,1.0,1.0,0.0,1.0,0.7997885821631985,0.7997885821631985,0.7997885821631985,0.7997885821631985,0.0,0.0,0.0,1.0,0.9221908911123223,1.0,0.9455336237786256,Very high availability,16,1856
150117,LIMA,LIMA,LOS OLIVOS,8.0,8.0,0.0,1.0,1.155491948985048,0.8063601965799982,1.885276900234678,2.3595886994082504,0.0,0.0,0.0,1.0,0.9215555905405176,1.0,0.9450889133783622,Very high availability,17,1855
150101,LIMA,LIMA,LIMA,1.0,1.0,0.0,1.0,0.8243509115217436,0.8243509115217436,0.8243509115217436,0.8243509115217436,0.0,0.0,0.0,1.0,0.9198281201381401,1.0,0.9438796840966981,Very high availability,18,1854
150105,LIMA,LIMA,BREÃA,1.0,1.0,0.0,1.0,0.8456820866821636,0.8456820866821636,0.8456820866821636,0.8456820866821636,0.0,0.0,0.0,1.0,0.9178018374426151,1.0,0.9424612862098305,Very high availability,19,1853
130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,1.0,1.0,0.0,1.0,0.8768260983788156,0.8768260983788156,0.8768260983788156,0.8768260983788156,0.0,0.0,0.0,1.0,0.9148850864251318,1.0,0.9404195604975922,Very high availability,20,1852
070103,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,1.0,1.0,0.0,1.0,0.9147714959607471,0.9147714959607471,0.9147714959607471,0.9147714959607471,0.0,0.0,0.0,1.0,0.9113960805532483,1.0,0.9379772563872737,Very high availability,21,1851
040110,AREQUIPA,AREQUIPA,MIRAFLORES,1.0,1.0,0.0,1.0,0.9442736664040274,0.9442736664040274,0.9442736664040274,0.9442736664040274,0.0,0.0,0.0,1.0,0.9087308615583455,1.0,0.9361116030908418,Very high availability,22,1850
200602,PIURA,SULLANA,BELLAVISTA,1.0,1.0,0.0,1.0,0.9575234270429502,0.9575234270429502,0.9575234270429502,0.9575234270429502,0.0,0.0,0.0,1.0,0.907547015170482,1.0,0.9352829106193374,Very high availability,23,1849
130103,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,1.0,1.0,0.0,1.0,1.0101676173897303,1.0101676173897303,1.0101676173897303,1.0101676173897303,0.0,0.0,0.0,1.0,0.9029211984362436,1.0,0.9320448389053706,Very high availability,24,1848
030413,APURIMAC,AYMARAES,SORAYA,28.0,28.0,0.0,1.0,1.108761605761678,1.061151785177151,1.5858144543500219,1.804031245330388,0.0,0.0,0.0,1.0,0.898555304352931,1.0,0.9289887130470516,Very high availability,25,1847
150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,2.0,2.0,0.0,1.0,1.0846044456912436,1.0846044456912436,1.396840549780973,1.4748995758034054,0.0,0.0,0.0,1.0,0.8965831390222789,1.0,0.9276081973155952,Very high availability,26,1846
150142,LIMA,LIMA,VILLA EL SALVADOR,1.0,1.0,0.0,1.0,1.1091722799546668,1.1091722799546668,1.1091722799546668,1.1091722799546668,0.0,0.0,0.0,1.0,0.8945408515710684,1.0,0.926178596099748,Very high availability,27,1845
060410,CAJAMARCA,CHOTA,LAJAS,49.0,49.0,0.0,1.0,1.0750451994461738,1.1141558849903923,2.158536687525848,2.605838703031147,0.0,0.0,0.0,1.0,0.894129475220526,1.0,0.9258906326543681,Very high availability,28,1844
090108,HUANCAVELICA,HUANCAVELICA,IZCUCHACA,13.0,13.0,0.0,1.0,1.2692616824131968,1.1214977239936905,1.945533868504806,2.24991149408742,0.0,0.0,0.0,1.0,0.8935251994406133,1.0,0.9254676396084291,Very high availability,29,1843
021308,ANCASH,MARISCAL LUZURIAGA,MUSGA,37.0,37.0,0.0,1.0,1.3082329784443252,1.188885601452939,2.2557302156446255,3.0154299227822423,0.0,0.0,0.0,1.0,0.888074507940101,1.0,0.9216521555580706,Very high availability,30,1842
150104,LIMA,LIMA,BARRANCO,1.0,1.0,0.0,1.0,1.2175713206557022,1.2175713206557022,1.2175713206557022,1.2175713206557022,0.0,0.0,0.0,1.0,0.8858049949051843,1.0,0.920063496433629,Very high availability,31,1841
030409,APURIMAC,AYMARAES,LUCRE,71.0,71.0,0.0,1.0,1.494973684810138,1.222060299651881,2.6178569904233204,5.458443760253875,0.0,0.0,0.0,1.0,0.8854525014013949,1.0,0.9198167509809763,Very high availability,32,1840
120119,JUNIN,HUANCAYO,HUANCAN,11.0,11.0,0.0,1.0,1.2471532681103665,1.226981388691429,1.8927193607143287,2.031294859414797,0.0,0.0,0.0,1.0,0.8850668940924159,1.0,0.919546825864691,Very high availability,33,1839
150111,LIMA,LIMA,EL AGUSTINO,3.0,3.0,0.0,1.0,1.3052027187443553,1.2665290111288705,1.863253218221881,2.0124342699951336,0.0,0.0,0.0,1.0,0.881998605722129,1.0,0.9173990240054901,Very high availability,34,1838
020205,ANCASH,AIJA,SUCCHA,52.0,52.0,0.0,1.0,1.6385392630718403,1.286613722693858,3.454728262047732,5.008783002514134,0.0,0.0,0.0,1.0,0.8804607787159093,1.0,0.9163225451011365,Very high availability,35,1837
120107,JUNIN,HUANCAYO,CHILCA,13.0,13.0,0.0,1.0,1.6362109490671257,1.31612053031852,2.5243764601956804,6.464420409750698,0.0,0.0,0.0,1.0,0.8782258555040513,1.0,0.9147580988528359,Very high availability,36,1836
150102,LIMA,LIMA,ANCON,3.0,3.0,0.0,1.0,1.16912510535398,1.3358295885497313,1.652071373730104,1.731131820025197,0.0,0.0,0.0,1.0,0.8767488444212247,1.0,0.9137241910948573,Very high availability,37,1835
080108,CUSCO,CUSCO,WANCHAQ,3.0,3.0,0.0,1.0,1.1774217269814686,1.3361474181990731,1.4675798828630746,1.500437999029075,0.0,0.0,0.0,1.0,0.876725128279067,1.0,0.9137075897953468,Very high availability,38,1834
150130,LIMA,LIMA,SAN BORJA,3.0,3.0,0.0,1.0,1.1184893914362686,1.4118333430880576,1.4962690196917008,1.5173779388426116,0.0,0.0,0.0,1.0,0.8711674513994239,1.0,0.9098172159795967,Very high availability,39,1833
070106,CALLAO,CALLAO,VENTANILLA,8.0,8.0,0.0,1.0,1.5924184190527402,1.4202500965767846,2.5630122009402423,2.6957434261395976,0.0,0.0,0.0,1.0,0.8705602105849648,1.0,0.9093921474094753,Very high availability,40,1832
220901,SAN MARTIN,SAN MARTIN,TARAPOTO,13.0,13.0,0.0,1.0,1.4735590967610834,1.430749089565226,2.298016458530352,2.579423199910436,0.0,0.0,0.0,1.0,0.8698056963213889,1.0,0.9088639874249722,Very high availability,41,1831
