ubigeo,department,province,district,total_populated_centers,matched_centers,unmatched_centers,coverage_share,mean_distance_km,median_distance_km,p90_distance_km,max_distance_km,share_over_10km,share_over_20km,share_over_30km,coverage_component,distance_component,remote_tail_component,q2_settlement_access_score,q2_access_level,rank_best_to_worst,rank_worst_to_best
211302,PUNO,YUNGUYO,ANAPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very low availability,1871,1
210103,PUNO,PUNO,AMANTANI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very low availability,1871,1
070107,CALLAO,CALLAO,MI PERU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very low availability,1871,1
250401,UCAYALI,PURUS,PURUS,64.0,64.0,0.0,1.0,228.0641143786865,229.252599225486,238.75060192936243,246.03199386259675,1.0,1.0,1.0,1.0,0.017600342639395472,0.0,0.01232023984757683,Very low availability,1870,2
160803,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,63.0,63.0,0.0,1.0,225.79851445020208,202.46798837199265,307.3089272825937,339.24985171263916,1.0,1.0,1.0,1.0,0.04053241505913541,0.0,0.028372690541394782,Very low availability,1869,3
160110,LORETO,MAYNAS,TORRES CAUSANA,35.0,35.0,0.0,1.0,187.8664340892851,201.00804858400974,245.24562899403313,268.36694400049066,1.0,1.0,1.0,1.0,0.04186773895230267,0.0,0.029307417266611867,Very low availability,1868,4
160706,LORETO,DATEM DEL MARAÃON,ANDOAS,115.0,115.0,0.0,1.0,168.29642868531784,174.21132519146576,213.0725272113268,233.8283457792713,1.0,1.0,1.0,1.0,0.06825746175385883,0.0,0.047780223227701174,Very low availability,1867,5
250204,UCAYALI,ATALAYA,YURUA,25.0,25.0,0.0,1.0,161.86512410467816,160.55672129192084,175.870278369561,187.6611949145971,1.0,1.0,1.0,1.0,0.08330278006997516,0.0,0.058311946048982606,Very low availability,1866,6
160402,LORETO,MARISCAL RAMON CASTILLA,PEBAS,91.0,91.0,0.0,1.0,140.21293746221593,142.09570553005776,153.4485623311488,161.36632010812613,1.0,1.0,1.0,1.0,0.10580360113876563,0.0,0.07406252079713593,Very low availability,1865,7
160804,LORETO,PUTUMAYO,YAGUAS,24.0,24.0,0.0,1.0,144.75018816653622,137.24594376383484,190.37501865722444,195.69600653605366,1.0,1.0,1.0,1.0,0.11219718535612033,0.0,0.07853802974928423,Very low availability,1864,8
170202,MADRE DE DIOS,MANU,FITZCARRALD,15.0,15.0,0.0,1.0,125.18909311452896,126.05694268147761,137.94796608377737,138.69078724889803,1.0,1.0,1.0,1.0,0.12784746211642928,0.0,0.08949322348150049,Very low availability,1863,9
160801,LORETO,PUTUMAYO,PUTUMAYO,41.0,41.0,0.0,1.0,136.57698234144092,125.5391824630072,204.09764662858683,218.16782576518293,1.0,1.0,1.0,1.0,0.1286046465214047,0.0,0.09002325256498328,Very low availability,1862,10
160505,LORETO,REQUENA,MAQUIA,73.0,73.0,0.0,1.0,121.0242429372247,121.37255046214196,137.30281948049327,145.1127309468958,1.0,1.0,1.0,1.0,0.13481327020852807,0.0,0.09436928914596965,Very low availability,1861,11
160508,LORETO,REQUENA,SOPLIN,14.0,14.0,0.0,1.0,117.48832027043638,121.07408316734451,150.0777978892008,157.03089825982698,1.0,1.0,1.0,1.0,0.13526609260214673,0.0,0.0946862648215027,Very low availability,1860,12
160605,LORETO,UCAYALI,SARAYACU,89.0,89.0,0.0,1.0,110.63234192947604,112.39196540329586,139.19637872628394,145.7247631198448,1.0,1.0,1.0,1.0,0.14894682346024246,0.0,0.10426277642216972,Very low availability,1859,13
160502,LORETO,REQUENA,ALTO TAPICHE,30.0,30.0,0.0,1.0,109.77168601513806,109.39219777910847,132.8568128606366,140.45273895236957,1.0,1.0,1.0,1.0,0.15391845884839483,0.0,0.10774292119387638,Very low availability,1858,14
160511,LORETO,REQUENA,YAQUERANA,22.0,22.0,0.0,1.0,107.53867739208341,107.82104839733935,121.34571287246355,159.60154919129062,1.0,1.0,1.0,1.0,0.15657656985593948,0.0,0.10960359889915763,Very low availability,1857,15
040303,AREQUIPA,CARAVELI,ATICO,35.0,35.0,0.0,1.0,93.30290914358375,102.20920742643104,109.48651891476229,111.46030726976092,1.0,1.0,1.0,1.0,0.16639459070464424,0.0,0.11647621349325096,Very low availability,1856,16
160704,LORETO,DATEM DEL MARAÃON,MORONA,80.0,80.0,0.0,1.0,107.06244466086173,100.19969514187389,176.98579457607764,205.17986379978458,1.0,1.0,1.0,1.0,0.17004061738265475,0.0,0.11902843216785831,Very low availability,1855,17
160504,LORETO,REQUENA,EMILIO SAN MARTIN,53.0,53.0,0.0,1.0,93.42580786534216,95.62768129061094,103.29485441492052,128.51183484375125,1.0,1.0,1.0,1.0,0.17861323550593622,0.0,0.12502926485415536,Very low availability,1854,18
