ubigeo,departamento,provincia,distrito,c1_rows,atenciones_missing_share,atendidos_missing_share,total_emergency_attentions,total_emergency_attended,total_populated_centers,matched_centers,coverage_share,mean_distance_km,median_distance_km,share_over_20km,share_over_30km,q1_territorial_availability_score,q2_settlement_access_score,q2_observed_settlement_access_score,q3_baseline_combined_score,q4_alternative_combined_score,baseline_rank_best_to_worst,alternative_rank_best_to_worst,rank_shift_alt_minus_base,abs_rank_shift,q1_missing_dominant,q1_reported_zero_activity,q2_no_matched_centers,q2_observed_low_access,q4_observed_no_matched_centers,q3_low_score_cause,q3_baseline_level,q4_alternative_level,facility_component,activity_component,distance_component,remote_tail_component,coverage_component,matched_centers_observed,coverage_share_observed,mean_distance_km_observed,median_distance_km_observed,share_over_20km_observed,share_over_30km_observed,distance_component_observed,remote_tail_component_observed
030712,APURIMAC,GRAU,VILCABAMBA,0.0,0.0,0.0,0.0,0.0,17.0,17.0,1.0,1.5631673380384077,1.629554340079235,0.0,0.0,0.0761685751667371,0.8928440561561231,0.24397533415721187,0.4845063156614301,0.1600719546619745,341,1672,-1331,1331,False,False,False,False,False,Mixed/other profile,Very high availability,Very low availability,0.1523371503334742,0.0,0.846920080223033,1.0,1.0,17.0,1.0,47.62983833785178,47.36067155831186,1.0,1.0,0.34853619165315985,0.0
210902,PUNO,MOHO,CONIMA,0.0,0.0,0.0,0.0,0.0,54.0,54.0,1.0,3.2344413012513487,3.049096005440583,0.0,0.0,0.0948614199796975,0.8368110106427149,0.2695437439125064,0.4658362153112062,0.18220258194610195,376,1595,-1219,1219,False,False,False,False,False,Mixed/other profile,Very high availability,Very low availability,0.1897228399593951,0.0,0.7668728723467357,1.0,1.0,54.0,1.0,38.69854587468811,38.21808661741387,1.0,1.0,0.3850624913035806,0.0
080201,CUSCO,ACOMAYO,ACOMAYO,2.0,1.0,1.0,0.0,0.0,129.0,129.0,1.0,4.927457360701368,4.383649714297645,0.0,0.0,0.0948614199796975,0.7998338001558163,0.24221164638221973,0.4473476100677569,0.16853653318095863,431,1645,-1214,1214,True,False,False,False,False,Missing-dominant activity,High availability,Very low availability,0.1897228399593951,0.0,0.7140482859368804,1.0,1.0,129.0,1.0,47.387274572310304,48.06477779069882,1.0,1.0,0.34601663768888535,0.0
200706,PIURA,TALARA,MANCORA,22.0,0.0,0.0,22.0,22.0,6.0,6.0,1.0,57.05424514360042,56.68253182707781,1.0,1.0,0.2676187058193896,0.19199578226848,0.8606032628636351,0.22980724404393482,0.5641109843415124,1497,288,1209,1209,False,False,False,True,False,Observed low geospatial access,Low availability,Very high availability,0.2678474780495672,0.267389933589212,0.2742796889549715,0.0,1.0,6.0,1.0,4.115917677719718,2.610065309339149,0.0,0.0,0.8008618040909075,1.0
030706,APURIMAC,GRAU,MICAELA BASTIDAS,0.0,0.0,0.0,0.0,0.0,21.0,21.0,1.0,5.429399138874254,4.538991381884198,0.0,0.0,0.0319556292752363,0.7961414522534671,0.23818886125400338,0.4140485407643517,0.13507224526461983,580,1787,-1207,1207,False,False,False,False,False,Mixed/other profile,High availability,Very low availability,0.0639112585504727,0.0,0.7087735032192388,1.0,1.0,21.0,1.0,49.04551338143527,49.70936586438816,1.0,1.0,0.3402698017914334,0.0
150511,LIMA,CA?ETE,PACARAN,21.0,0.0,0.0,31.0,26.0,8.0,8.0,1.0,37.02346936874657,37.19219586098376,1.0,1.0,0.1759907164882346,0.2455163603538979,0.886676818761815,0.21075353842106626,0.5313337676250248,1531,347,1184,1184,False,False,False,True,False,Observed low geospatial access,Very low availability,Very high availability,0.0639112585504727,0.2880701744259965,0.3507376576484257,0.0,1.0,8.0,1.0,2.178446581709893,1.9154873732942386,0.0,0.0,0.8381097410883074,1.0
160206,LORETO,ALTO AMAZONAS,LAGUNAS,28.0,0.0,0.0,4857.0,1229.0,65.0,65.0,1.0,83.65479793823094,82.30427977819132,1.0,1.0,0.4462510594004805,0.1442874547007655,0.7492737351127673,0.295269257050623,0.597762397256624,1403,227,1176,1176,False,False,False,True,False,Observed low geospatial access,Low availability,Very high availability,0.2291194652773391,0.6633826535236219,0.2061249352868079,0.0,1.0,65.0,1.0,10.683524222605335,7.025806821327746,0.16923076923076924,0.046153846153846156,0.6615998413698874,0.9538461538461538
250305,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,5.0,0.6,0.6,2.0,2.0,14.0,14.0,1.0,54.681316219051645,54.78581571544157,1.0,1.0,0.0974924238258314,0.1963356959301787,0.8076300953745372,0.14691405987800504,0.45256125960018434,1657,487,1170,1170,False,False,False,True,False,Observed low geospatial access,Very low availability,High availability,0.1012969481763936,0.0936878994752691,0.280479565614541,0.0,1.0,14.0,1.0,4.798831973765516,4.572666274639573,0.0,0.0,0.7251858505350532,1.0
160210,LORETO,ALTO AMAZONAS,SANTA CRUZ,22.0,0.0,0.0,3021.0,312.0,51.0,51.0,1.0,44.17510492379258,44.659482404462224,1.0,1.0,0.3876345797551473,0.2223362171006804,0.8251740618259216,0.30498539842791383,0.6064043207905344,1378,211,1167,1167,False,False,False,True,False,Observed low geospatial access,Low availability,Very high availability,0.1917337756514181,0.5835353838588766,0.3176231672866864,0.0,1.0,51.0,1.0,4.125656491942164,3.8263476663839686,0.0,0.0,0.7502486597513165,1.0
200207,PIURA,AYABACA,PAIMAS,0.0,0.0,0.0,0.0,0.0,52.0,52.0,1.0,7.220406704494366,6.817575527229817,0.0,0.0,0.1184116192954771,0.7514164391203395,0.2232784431096651,0.4349140292079083,0.1708450312025711,480,1637,-1157,1157,False,False,False,False,False,Mixed/other profile,High availability,Very low availability,0.2368232385909542,0.0,0.6448806273147707,1.0,1.0,52.0,1.0,55.76739902120548,56.30057692891879,1.0,1.0,0.31896920444237875,0.0
080306,CUSCO,ANTA,LIMATAMBO,0.0,0.0,0.0,0.0,0.0,134.0,134.0,1.0,6.275497338048813,5.734601651561045,0.0,0.0,0.1081242044419734,0.7707720430491418,0.24443041755847283,0.43944812374555764,0.17627731100022312,462,1616,-1154,1154,False,False,False,False,False,Mixed/other profile,High availability,Very low availability,0.2162484088839469,0.0,0.6725314900702026,1.0,1.0,134.0,1.0,47.29479851080004,47.18063723866187,1.0,1.0,0.34918631079781837,0.0
010512,AMAZONAS,LUYA,OCALLI,0.0,0.0,0.0,0.0,0.0,49.0,49.0,1.0,4.738478825640717,3.2589102565044654,0.0,0.0,0.1268170492549339,0.8302534312927099,0.3331292116006072,0.4785352402738219,0.22997313042777057,352,1506,-1154,1154,False,False,False,False,False,Mixed/other profile,Very high availability,Low availability,0.2536340985098678,0.0,0.7575049018467285,1.0,1.0,49.0,1.0,32.56494125276437,32.09084422220204,1.0,0.8571428571428571,0.41467438391923483,0.1428571428571429
150509,LIMA,CA?ETE,MALA,60.0,0.0,0.0,1997.0,1997.0,57.0,57.0,1.0,48.92612922105899,49.57502322818761,1.0,1.0,0.4386134766758108,0.2090643616020256,0.8309524975865117,0.3238389191389182,0.6347829871311612,1315,167,1148,1148,False,False,False,True,False,Observed low geospatial access,Low availability,Very high availability,0.2291194652773391,0.6481074880742825,0.2986633737171795,0.0,1.0,57.0,1.0,3.9410963946784126,3.603109999658201,0.0,0.0,0.758503567980731,1.0
060811,CAJAMARCA,JAEN,SAN JOSE DEL ALTO,62.0,0.0967741935483871,0.0967741935483871,115.0,72.0,55.0,55.0,1.0,35.48370488371998,36.06243821681295,1.0,0.8545454545454545,0.2937882464864373,0.2930503278919747,0.8643082084291442,0.293419287189206,0.5790482274577908,1407,261,1146,1146,False,False,False,True,False,Observed low geospatial access,Low availability,Very high availability,0.2025938963527872,0.3849825966200874,0.3563056632223016,0.1454545454545455,1.0,55.0,1.0,2.6605003661822546,2.5020956649723165,0.0,0.0,0.8061545834702062,1.0
090412,HUANCAVELICA,CASTROVIRREYNA,TANTARA,5.0,0.4,0.4,3.0,3.0,35.0,35.0,1.0,39.099167612720834,40.322079357103455,1.0,1.0,0.1097589574167558,0.2352923672033683,0.8355311355546997,0.17252566231006206,0.47264504648572775,1586,444,1142,1142,False,False,False,True,False,Observed low geospatial access,Very low availability,High availability,0.1012969481763936,0.1182209666571181,0.3361319531476691,0.0,1.0,35.0,1.0,4.805536298744704,3.4335800769179063,0.0,0.0,0.7650444793638568,1.0
130809,LA LIBERTAD,PATAZ,PATAZ,0.0,0.0,0.0,0.0,0.0,124.0,124.0,1.0,5.295577600830997,4.561649777343972,0.0,0.0,0.1587726785301703,0.7956115512726134,0.31844005983228113,0.47719211490139185,0.2386063691812257,353,1491,-1138,1138,False,False,False,False,False,Mixed/other profile,Very high availability,Low availability,0.3175453570603406,0.0,0.7080165018180191,1.0,1.0,124.0,1.0,33.80823651595583,33.67420516694723,1.0,0.8870967741935484,0.40652727441477954,0.11290322580645162
081205,CUSCO,QUISPICANCHI,CCATCA,12.0,1.0,1.0,0.0,0.0,194.0,194.0,1.0,6.345172689870981,6.425603490199075,0.0,0.0,0.1339237390247836,0.7580935458667206,0.2533474288330391,0.4460086424457521,0.19363558392891136,439,1574,-1135,1135,True,False,False,False,False,Missing-dominant activity,High availability,Very low availability,0.2678474780495672,0.0,0.6544193512381724,1.0,1.0,194.0,1.0,43.0733518526578,43.78515931999779,1.0,1.0,0.3619248983329131,0.0
030710,APURIMAC,GRAU,SANTA ROSA,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,5.726569414123142,5.950377809707853,0.0,0.0,0.0506484740881968,0.7666784154501316,0.24413822857999334,0.4086634447691642,0.14739335133409506,603,1734,-1131,1131,False,False,False,False,False,Mixed/other profile,High availability,Very low availability,0.1012969481763936,0.0,0.6666834506430452,1.0,1.0,10.0,1.0,47.178989133270534,47.296152161599856,1.0,1.0,0.3487688979714191,0.0
250304,UCAYALI,PADRE ABAD,NESHUYA,127.0,0.1417322834645669,0.1417322834645669,225.0,194.0,26.0,26.0,1.0,54.220030386273294,53.12077260773859,1.0,1.0,0.3291755452165927,0.2002689139038728,0.7640865632690874,0.2647222295602327,0.5466310542428401,1449,324,1125,1125,False,False,False,True,False,Observed low geospatial access,Low availability,Very high availability,0.2025938963527872,0.4557571940803981,0.2860984484341041,0.0,1.0,26.0,1.0,7.805875552185406,6.962473641829628,0.0,0.0,0.662980804670125,1.0
020507,ANCASH,BOLOGNESI,COLQUIOC,22.0,0.0,0.0,25.0,25.0,51.0,51.0,1.0,46.72530219415921,48.07593109189627,1.0,1.0,0.1708782610732743,0.2129700056475305,0.7880995720740505,0.1919241333604024,0.4794889165736624,1560,436,1124,1124,False,False,False,True,False,Observed low geospatial access,Very low availability,High availability,0.0639112585504727,0.2778452635960758,0.3042428652107579,0.0,1.0,51.0,1.0,7.1214875232253165,5.5400074299725635,0.0,0.0,0.6972851029629292,1.0
081201,CUSCO,QUISPICANCHI,URCOS,2.0,1.0,1.0,0.0,0.0,77.0,77.0,1.0,5.015520403758161,5.156397498940882,0.0,0.0,0.0948614199796975,0.7824240075669544,0.27320683340565305,0.438642713773326,0.18403412669267527,467,1591,-1124,1124,True,False,False,False,False,Missing-dominant activity,High availability,Very low availability,0.1897228399593951,0.0,0.6891771536670779,1.0,1.0,77.0,1.0,36.865622562771,37.05820724317703,1.0,1.0,0.39029547629379013,0.0
150516,LIMA,CAÑETE,ZUÑIGA,0.0,0.0,0.0,0.0,0.0,18.0,18.0,1.0,43.97545334414392,43.86078292774104,1.0,1.0,0.0639112585504727,0.2246268837041031,0.8010924433807907,0.1442690711272879,0.43250185096563165,1667,550,1117,1117,False,False,False,True,False,Observed low geospatial access,Very low availability,High availability,0.1278225171009454,0.0,0.3208955481487188,0.0,1.0,18.0,1.0,5.098221278027684,4.879394099122287,0.0,0.0,0.7158463476868437,1.0
200403,PIURA,MORROPON,CHALACO,0.0,0.0,0.0,0.0,0.0,81.0,81.0,1.0,4.634051785949643,4.326887163971504,0.0,0.0,0.1455098940678943,0.8012096396021238,0.3444575806724452,0.473359766835009,0.24498373737016976,362,1479,-1117,1117,False,False,False,False,False,Mixed/other profile,Very high availability,Low availability,0.2910197881357887,0.0,0.7160137708601769,1.0,1.0,81.0,1.0,31.925205370408964,32.46449367825923,1.0,0.8148148148148148,0.41271717873841374,0.18518518518518523
160606,LORETO,UCAYALI,VARGAS GUERRA,54.0,0.0,0.0,4598.0,3934.0,32.0,32.0,1.0,54.93619616456986,56.85710847042952,1.0,1.0,0.3881238590022768,0.1916035272668176,0.7295631239943612,0.2898636931345472,0.558843491498319,1413,299,1114,1114,False,False,False,True,False,Observed low geospatial access,Low availability,Very high availability,0.0639112585504727,0.7123364594540809,0.2737193246668823,0.0,1.0,32.0,1.0,11.20565887836185,9.566415012824336,0.21875,0.0,0.6136616057062303,1.0
220911,SAN MARTIN,SAN MARTIN,PAPAPLAYA,54.0,0.1851851851851851,0.1851851851851851,85.0,80.0,24.0,24.0,1.0,53.84738939290301,53.0492937712105,1.0,1.0,0.2783216635102387,0.2004404610405465,0.752550551943451,0.23938106227539258,0.5154361077268448,1487,378,1109,1109,False,False,False,True,False,Observed low geospatial access,Low availability,High availability,0.1794215862665657,0.3772217407539115,0.2863435157722094,0.0,1.0,24.0,1.0,8.423792560649316,7.752019155261421,0.0,0.0,0.6465007884906444,1.0
211207,PUNO,SANDIA,SAN JUAN DEL ORO,0.0,0.0,0.0,0.0,0.0,41.0,41.0,1.0,5.952864598150798,6.807745785897987,0.0,0.0,0.1081242044419734,0.7515797541754756,0.25364246413423,0.42985197930872454,0.1808833342881017,504,1602,-1098,1098,False,False,False,False,False,Mixed/other profile,High availability,Very low availability,0.2162484088839469,0.0,0.6451139345363939,1.0,1.0,41.0,1.0,43.228099833188814,43.67699979425282,1.0,1.0,0.3623463773346143,0.0
081212,CUSCO,QUISPICANCHI,QUIQUIJANA,4.0,1.0,1.0,0.0,0.0,165.0,165.0,1.0,7.440174072839414,7.767800073321414,0.0,0.0,0.0948614199796975,0.736526606009615,0.23265504635732995,0.41569401299465625,0.16375823316851373,571,1660,-1089,1089,True,False,False,False,False,Missing-dominant activity,High availability,Very low availability,0.1897228399593951,0.0,0.6236094371565928,1.0,1.0,165.0,1.0,50.75288062761065,52.06213836458976,1.0,1.0,0.3323643519390428,0.0
081304,CUSCO,URUBAMBA,MACHUPICCHU,2.0,1.0,1.0,0.0,0.0,40.0,40.0,1.0,8.14783952573549,8.782399912954158,0.0,0.0,0.1587726785301703,0.7223133736877627,0.2583720802022197,0.4405430261089665,0.208572379366195,458,1546,-1088,1088,True,False,False,False,False,Missing-dominant activity,High availability,Very low availability,0.3175453570603406,0.0,0.6033048195539468,1.0,1.0,40.0,1.0,43.04563544811424,44.70299478827404,1.0,0.975,0.358388686003171,0.025000000000000022
200201,PIURA,AYABACA,AYABACA,0.0,0.0,0.0,0.0,0.0,346.0,346.0,1.0,14.684961995754808,13.979559350675675,0.2398843930635838,0.0173410404624277,0.2025274065429675,0.661801995971302,0.18340493661880547,0.43216470125713474,0.19296617158088647,491,1575,-1084,1084,False,False,False,False,False,Mixed/other profile,High availability,Very low availability,0.4050548130859351,0.0,0.5242918687286149,0.9826589595375722,1.0,346.0,1.0,76.34519372610325,78.44767718931399,1.0,1.0,0.26200705231257926,0.0
